t,x,y,yaw
0.0,-6.0004,-1.0,3.1416
0.017,-6.0004,-1.0,3.1416
0.033,-6.0004,-1.0,3.1416
0.05,-6.0005,-1.0,3.1416
0.067,-6.0005,-1.0,3.1411
0.083,-6.0005,-1.0,3.1399
0.1,-6.0005,-1.0,3.138
0.117,-6.0005,-1.0,3.1354
0.133,-6.0005,-1.0,3.1321
0.15,-6.0006,-1.0,3.1281
0.167,-6.0006,-1.0,3.1234
0.183,-6.0006,-1.0,3.118
0.2,-6.0006,-1.0,3.1118
0.217,-6.0006,-1.0,3.1049
0.233,-6.0006,-1.0,3.0973
0.25,-6.0006,-1.0,3.089
0.267,-6.0007,-1.0,3.08
0.283,-6.0007,-1.0,3.0703
0.3,-6.0007,-1.0,3.0599
0.317,-6.0007,-1.0,3.0487
0.333,-6.0007,-1.0,3.0368
0.35,-6.0007,-1.0,3.0242
0.367,-6.0007,-1.0,3.0108
0.383,-6.0008,-1.0,2.9967
0.4,-6.0008,-1.0,2.9819
0.417,-6.0008,-1.0,2.9663
0.433,-6.0008,-1.0,2.95
0.45,-6.0008,-1.0,2.933
0.467,-6.0008,-0.9999,2.9152
0.483,-6.0008,-0.9999,2.8967
0.5,-6.0008,-0.9999,2.8774
0.517,-6.0008,-0.9999,2.8574
0.533,-6.0007,-0.9999,2.8367
0.55,-6.0007,-0.9999,2.8153
0.567,-6.0006,-1.0,2.7931
0.583,-6.0005,-1.0,2.7702
0.6,-6.0004,-1.0,2.7466
0.617,-6.0003,-1.0,2.7224
0.633,-6.0002,-1.0001,2.6978
0.65,-6.0002,-1.0001,2.6731
0.667,-6.0001,-1.0001,2.6483
0.683,-6.0,-1.0002,2.6235
0.7,-5.9999,-1.0002,2.5986
0.717,-5.9998,-1.0003,2.5738
0.733,-5.9997,-1.0003,2.5489
0.75,-5.9996,-1.0004,2.524
0.767,-5.9995,-1.0005,2.4991
0.783,-5.9994,-1.0005,2.4742
0.8,-5.9994,-1.0006,2.4493
0.817,-5.9993,-1.0007,2.4244
0.833,-5.9992,-1.0007,2.3996
0.85,-5.9991,-1.0008,2.3747
0.867,-5.9991,-1.0009,2.3498
0.883,-5.999,-1.0009,2.3249
0.9,-5.9989,-1.001,2.3005
0.917,-5.9989,-1.0011,2.2765
0.933,-5.9988,-1.0012,2.2532
0.95,-5.9988,-1.0012,2.2305
0.967,-5.9987,-1.0013,2.2086
0.983,-5.9987,-1.0014,2.1875
1.0,-5.9986,-1.0014,2.167
1.017,-5.9986,-1.0015,2.1472
1.033,-5.9986,-1.0015,2.1281
1.05,-5.9986,-1.0016,2.1096
1.067,-5.9985,-1.0016,2.0918
1.083,-5.9985,-1.0017,2.0746
1.1,-5.9985,-1.0017,2.0579
1.117,-5.9985,-1.0018,2.0418
1.133,-5.9984,-1.0018,2.0263
1.15,-5.9986,-1.0015,2.0113
1.167,-5.999,-1.0007,1.9968
1.183,-5.9995,-0.9994,1.9829
1.2,-6.0003,-0.9976,1.9693
1.217,-6.0013,-0.9952,1.9563
1.233,-6.0024,-0.9923,1.9437
1.25,-6.0037,-0.9889,1.9315
1.267,-6.0052,-0.9849,1.9197
1.283,-6.0068,-0.9804,1.9082
1.3,-6.0085,-0.9753,1.8972
1.317,-6.0104,-0.9697,1.8864
1.333,-6.0123,-0.9635,1.8761
1.35,-6.0144,-0.9567,1.866
1.367,-6.0166,-0.9494,1.8563
1.383,-6.0188,-0.9415,1.8469
1.4,-6.0211,-0.9331,1.8377
1.417,-6.0235,-0.9241,1.8289
1.433,-6.026,-0.9146,1.8203
1.45,-6.0285,-0.9045,1.812
1.467,-6.031,-0.8938,1.8039
1.483,-6.0336,-0.8825,1.7961
1.5,-6.0362,-0.8707,1.7885
1.517,-6.0389,-0.8583,1.7811
1.533,-6.0415,-0.8454,1.774
1.55,-6.0442,-0.8319,1.767
1.567,-6.0469,-0.8178,1.7603
1.583,-6.0497,-0.8032,1.7537
1.6,-6.0524,-0.788,1.7474
1.617,-6.0551,-0.7722,1.7412
1.633,-6.0578,-0.7558,1.7353
1.65,-6.0605,-0.7394,1.7294
1.667,-6.063,-0.7229,1.7237
1.683,-6.0654,-0.7064,1.7181
1.7,-6.0678,-0.6899,1.7126
1.717,-6.0701,-0.6734,1.7074
1.733,-6.0723,-0.6569,1.7023
1.75,-6.0744,-0.6404,1.6973
1.767,-6.0764,-0.6238,1.6925
1.783,-6.0783,-0.6072,1.6878
1.8,-6.0802,-0.5907,1.6833
1.817,-6.082,-0.5741,1.679
1.833,-6.0837,-0.5575,1.6747
